,data_source,data_target,start_batch_fit,end_batch_fit,start_batch_predict,end_batch_predict,len batch predicted,f1_da,G_da,accuracy_da,recall_da
0,1,2,8010,8060,8060,8110,50,1.0,1.0,1.0,1.0
0,1,2,8010,8110,8110,8160,50,0.7499999999999999,0.7745966692414834,0.92,0.6
0,1,2,8010,8160,8160,8210,50,1.0,1.0,1.0,1.0
0,1,2,8010,8210,8210,8260,50,1.0,1.0,1.0,1.0
0,1,2,8010,8260,8260,8310,50,1.0,1.0,1.0,1.0
0,1,2,8010,8310,8310,8360,50,0.0,0.0,1.0,0.0
0,1,2,8010,8360,8360,8410,50,1.0,1.0,1.0,1.0
0,1,2,8010,8410,8410,8460,50,0.0,0.0,1.0,0.0
0,1,2,8010,8460,8460,8510,50,1.0,1.0,1.0,1.0
0,1,2,8010,8510,8510,8550,40,0.9841269841269841,0.9842509842514764,0.975,0.96875
0,1,3,8550,8600,8600,8650,50,0.8421052631578948,0.8528028654224418,0.94,0.7272727272727273
0,1,3,8550,8650,8650,8700,50,0.888888888888889,0.8944271909999159,0.96,0.8
0,1,3,8550,8700,8700,8750,50,1.0,1.0,1.0,1.0
0,1,3,8550,8750,8750,8800,50,0.9523809523809523,0.9534625892455924,0.98,0.9090909090909091
0,1,3,8550,8800,8800,8850,50,0.9523809523809523,0.9874208829065749,0.98,1.0
0,1,3,8550,8850,8850,8900,50,1.0,1.0,1.0,1.0
0,1,3,8550,8900,8900,8950,50,1.0,1.0,1.0,1.0
0,1,3,8550,8950,8950,9000,50,1.0,1.0,1.0,1.0
0,1,3,8550,9000,9000,9042,42,1.0,1.0,1.0,1.0
0,1,4,9042,9092,9092,9142,50,0.0,0.0,1.0,0.0
0,1,4,9042,9142,9142,9192,50,0.7692307692307693,0.7905694150420949,0.94,0.625
0,1,4,9042,9192,9192,9242,50,1.0,1.0,1.0,1.0
0,1,4,9042,9242,9242,9292,50,1.0,1.0,1.0,1.0
0,1,4,9042,9292,9292,9342,50,0.0,0.0,1.0,0.0
0,1,4,9042,9342,9342,9392,50,0.923076923076923,0.9258200997725514,0.98,0.8571428571428571
0,1,4,9042,9392,9392,9442,50,0.0,0.0,1.0,0.0
0,1,4,9042,9442,9442,9492,50,0.0,0.0,1.0,0.0
0,1,4,9042,9492,9492,9515,23,0.5555555555555556,0.7453559924999299,0.6521739130434783,1.0
0,1,5,9515,9565,9565,9615,50,0.7222222222222222,0.8542421961772491,0.8,1.0
0,1,5,9515,9615,9615,9665,50,1.0,1.0,1.0,1.0
0,1,5,9515,9665,9665,9715,50,1.0,1.0,1.0,1.0
0,1,5,9515,9715,9715,9765,50,1.0,1.0,1.0,1.0
0,1,5,9515,9765,9765,9815,50,1.0,1.0,1.0,1.0
0,1,5,9515,9815,9815,9865,50,1.0,1.0,1.0,1.0
0,1,5,9515,9865,9865,9915,50,0.0,0.0,1.0,0.0
0,1,5,9515,9915,9915,9965,50,1.0,1.0,1.0,1.0
0,1,5,9515,9965,9965,10000,35,1.0,1.0,1.0,1.0
