,work_roll_diam_1,work_roll_diam_2,work_roll_diam_3,work_roll_diam_4,work_roll_mileage_1,work_roll_mileage_2,work_roll_mileage_3,work_roll_mileage_4,reduction_1,reduction_2,reduction_3,reduction_4,tension_1,tension_2,tension_3,tension_4,tension_5,roll_speed_1,roll_speed_2,roll_speed_3,roll_speed_4,force_1,force_2,force_3,force_4,torque_1,torque_2,torque_3,torque_4,gap_1,gap_2,gap_3,gap_4,current_1,current_2,current_3,current_4
9092,1.07994613548409e-09,-2.8891178468845823e-08,2.0054285414532105e-08,1.2030417565257585e-07,5.947872220225875e-08,-1.2135695821297783e-07,6.488213936567342e-10,4.8991835986583885e-08,3.36246254544909e-09,-1.3052679908780984e-08,3.983227846523921e-08,-3.822109041118985e-09,2.0151104157207247e-08,2.8104986995467998e-08,3.6216806619846233e-09,-2.9714234794160806e-08,-1.1893765379967104e-08,3.5240858172535966e-09,-7.339403964574046e-08,-4.331484281767823e-08,-6.13460239643852e-08,1.146555102121072e-08,-6.441065731148286e-08,3.26556619256836e-08,-2.4090016571181108e-08,-1.6911459776250876e-08,3.148529989024437e-08,-8.963203678545814e-09,-2.640144278612501e-08,1.6062598054614213e-08,-1.8554662043466542e-09,1.7617518699673354e-10,1.1829736952947834e-08,-1.6246340237595473e-08,4.5494719718898426e-08,-1.1389298984895828e-09,-4.018501689035097e-08
9093,7.326404253598396e-10,-2.5360495783358257e-08,1.4222847918688176e-08,7.680442649872412e-08,4.4464250095187174e-08,-8.531632677962239e-08,-8.760252967458774e-09,4.326459020375916e-08,3.7227679664730956e-09,-5.851616151646057e-09,-3.0753047516129312e-09,6.252337091912248e-08,-5.043887843687606e-09,-2.9419704029926372e-08,-1.0607376073602387e-09,-1.2155699854168058e-09,-2.820161171268338e-09,-1.4707135659420995e-10,-2.836944380153128e-08,-4.751588373129474e-08,-2.334806292012065e-08,6.600166670958554e-09,-3.747409209609755e-08,9.614935455255451e-09,-2.28659094622822e-09,-1.999762995783883e-08,1.6732956282797366e-08,-8.59358503171277e-09,-1.39951783542878e-07,1.49671298761512e-09,4.5324365297881005e-09,-3.4672363349198587e-10,8.97756156822407e-09,1.028335342804591e-09,6.131012924001789e-09,-4.65894117949803e-09,-7.350967886547537e-08
9094,7.772662987051473e-10,-2.1654608038570305e-08,1.3957615010478658e-08,1.0259915143247661e-07,3.599813984088068e-08,-6.752030458302607e-08,1.7442895722643084e-10,2.961702800051193e-08,4.706865486978392e-09,-1.4550751075156533e-08,2.2096986261527115e-08,3.083453824121301e-08,-3.707439949080423e-09,-1.5677457364874525e-08,-1.451311011834456e-10,4.134102103634686e-09,-3.6944402382348778e-09,-2.534555581760791e-09,-5.5360530192685144e-08,-3.258018599205705e-08,-2.989021595567971e-08,8.95020396755571e-09,-4.974116260806069e-08,2.057912449041352e-08,-1.217122189727347e-09,-1.278531271959252e-08,2.195224321137161e-08,-1.1727679520835295e-08,-1.6540579963472213e-07,2.0459992811119932e-09,5.772841783848309e-09,8.185937379515407e-10,-2.5186454877232048e-08,-4.5440780619454965e-09,3.033996714903479e-08,-6.464930872089921e-09,-5.132033644863655e-08
9095,6.001209839759265e-10,-2.0942146269012595e-08,1.0694493539621248e-08,7.790513336657032e-08,4.438508767634341e-08,-6.356198961536017e-08,3.42105825740857e-09,2.5486030305444118e-08,-5.995389074520824e-10,-8.659359688177083e-10,2.263424297178444e-08,-2.6574513564500662e-08,3.414073338110519e-09,-1.4604302123210657e-08,-2.364783237393704e-09,-7.808751737059238e-09,-4.652538336778033e-09,1.5775052209659763e-08,-4.7408587609708664e-08,-3.571428048112536e-08,-5.825500314438778e-08,7.303703265897799e-09,-2.2331563134969357e-08,1.174358961484216e-08,-2.2374830829626515e-08,-6.139550047628451e-09,-7.92342082906166e-09,-6.797878692535915e-09,-1.262301035846201e-07,-4.8073707148345995e-09,6.15060950665917e-11,9.794409076640219e-10,1.1213123798405056e-08,1.9239572187655074e-09,4.167668521346442e-09,-1.1313435000638873e-08,-3.898710322876555e-08
9096,1.2262413899320642e-09,-2.880347892644768e-08,2.034086113177214e-08,1.1698866728691078e-07,8.0213455172857e-08,-8.651365836461168e-08,-1.9136544627430575e-08,2.075782200941714e-08,7.78042400880295e-09,-4.643613162141497e-09,2.461601980030898e-08,-1.230015186592792e-07,-6.476572404301526e-09,-1.0907145527509128e-08,4.496735831079329e-09,2.1102799413120755e-08,4.624016582989703e-09,5.91331627219048e-09,-3.861845470964692e-08,-3.339451116821333e-08,-1.2341459902624722e-07,1.6333845754443507e-08,-1.172030655047316e-08,3.0796703261687926e-08,-4.20973325768868e-08,-3.531769228476032e-08,1.654843799770601e-08,-3.3116278548796867e-09,5.838170181957555e-08,1.5935899379372245e-08,4.394484373434748e-09,-9.09979765693382e-11,1.102860551329563e-08,-1.0857086939104031e-08,2.8125165651179777e-08,3.208212243970577e-09,5.084827231869917e-09
9097,2.8184149414438252e-09,-4.85717707003178e-08,6.661131434763283e-07,2.4467435044548584e-07,2.7710610690213406e-07,-1.7250422388313032e-07,6.046204362065396e-08,4.1059684008200895e-09,4.146771971139006e-08,-1.214658065390913e-08,2.2591751379273516e-08,2.323515946045619e-07,2.737933148938814e-08,8.432349810809717e-10,-1.4505737150674863e-08,1.3733709541497463e-08,2.0213580379644922e-09,-1.376506406813672e-07,1.9213184714321659e-07,3.0242430511860375e-07,5.075160879642256e-07,6.756454240530729e-08,-2.1044611154740614e-07,-5.738150017958555e-08,2.5444508840593405e-08,-1.6271156103662182e-07,3.2961271548019865e-07,-3.374045869955908e-08,-8.248046894247398e-07,3.644769700857723e-09,2.542782264451258e-08,-8.031687078380225e-09,6.194071223360852e-09,-9.427332164098024e-08,1.659595485156186e-07,-1.798073450725585e-08,-4.2061806501200234e-07
9098,2.6544633632186814e-09,-2.8552021831248012e-08,4.4235280559711275e-07,1.8671387806536862e-07,2.1192051159838474e-07,-1.533703956132206e-07,-4.912144504467999e-09,-4.4470652941358546e-10,9.051291271935762e-10,4.493243371394163e-09,-6.519743086147488e-08,-3.929346955068941e-08,-1.472343380254038e-08,-2.0919057230193706e-08,-6.069506828989407e-09,-6.475776899605701e-08,6.818057348446464e-10,-2.5693443603822322e-08,1.461516755322543e-07,1.9114231690763343e-07,1.8084111313026023e-07,1.8819894952055532e-08,3.0881104369987152e-09,-7.201218977571401e-08,-5.785104197758833e-08,-2.3616594262392942e-08,-7.124656500916626e-08,7.293613937996736e-08,-1.7737096641210677e-07,9.40247749288154e-10,2.2027719144889746e-09,5.743155876723171e-11,-4.465691745247971e-09,-2.344779204579448e-08,-9.393455305444652e-08,6.527989171443563e-08,-8.651424044117167e-08
9099,3.058230504395746e-09,-5.394666610905871e-08,7.063765466834491e-07,2.1600959977759196e-07,3.9796480753771644e-07,-1.6296806279567262e-07,-1.0895989059158346e-07,-8.600763976597073e-09,-7.389908811699225e-08,7.472893533596482e-09,-8.306524250658897e-08,3.431842196732774e-07,-1.0751925098352339e-08,-4.697183612734369e-08,3.6461278796362227e-09,-9.05321212485476e-08,3.6831867570331447e-09,-1.5456656304478275e-08,2.0184107900904995e-07,2.7023333435260386e-07,4.928431008011182e-07,2.7712473335366177e-08,1.0416260920466799e-07,-1.3696650664019226e-07,3.1277886591866165e-08,1.3193949901809946e-07,-2.6302179321644956e-07,4.311965312807162e-08,-6.009062053636028e-07,-2.5481373692747404e-09,1.0420141431170872e-08,-4.138370665375737e-09,-1.565747273462251e-08,3.107823431495032e-08,-1.810275716706901e-07,3.7778324137096676e-08,-5.476405688872063e-07
9100,8.321367204205203e-09,-9.724598688381223e-08,1.4219017854581234e-06,5.180359585210703e-07,6.134476279839621e-07,-3.6797350427758443e-07,-2.2268252602463813e-07,-5.919059428074431e-08,6.53322786092975e-08,-6.528571248063178e-09,-8.799019269644275e-08,-1.5432674748199347e-07,4.323626247541252e-08,3.298744559288314e-08,-1.4794447148839633e-09,-2.0446508036305145e-07,-3.431535636373717e-09,-1.322068662072518e-07,3.667014728610967e-07,6.118300370871746e-07,5.473167402669831e-07,1.1875022513172554e-07,-2.1431071218101796e-07,-2.551105959961956e-07,-2.7329466926551225e-08,-1.5760965955755277e-07,8.273753337559844e-08,1.1883268598470436e-07,1.1097209062427115e-06,9.896408300845586e-08,7.266450362896556e-09,-5.254793601769045e-09,3.506138455125962e-08,-2.3102465396127774e-07,4.0984984176883205e-08,1.0482501238585674e-07,1.6987343163543507e-07
9101,5.189601021503316e-09,-4.787250266720996e-08,5.798831504459761e-07,2.3981323465706506e-07,3.7913928584508715e-07,-1.285681112979596e-07,3.593158908187259e-08,-2.8284072565535705e-08,1.6742463533903536e-09,-4.167474495850541e-09,-2.2516663496638764e-08,-4.795806792875565e-08,4.971322293077813e-09,-2.7257677478105737e-08,7.78042400833313e-11,9.531679097559125e-08,5.183392204315361e-09,-3.0071047755535783e-08,2.0860539128383796e-07,3.150930084909096e-07,3.16203998712207e-07,4.258511277533515e-08,8.224199215572387e-08,-4.270618471009371e-08,-6.861325042922921e-09,6.537108371635631e-09,-4.215573426338652e-08,-1.7951242625662753e-08,-4.337225497389768e-07,-3.417061331369009e-08,2.294759421298829e-08,-2.376036718559297e-09,4.275139266003515e-08,-2.9654280903422824e-08,-5.771483605105949e-08,6.688642315557144e-09,-1.3287256782252137e-07
9102,3.6364266027992414e-09,-4.6578158313995404e-08,5.376571789383462e-07,2.452187861005552e-07,3.5843850734333703e-07,-6.297215198478121e-08,-6.359924251836142e-08,-3.888446372000267e-08,-1.945843299233337e-08,-1.5335778394980706e-09,5.72342347974593e-08,1.7816647111127556e-07,1.8941937014474296e-08,-3.1852396205088594e-08,-4.135266256845005e-09,1.9014890616148174e-08,-4.052611378279937e-09,-4.445202648641558e-08,1.1830493652573391e-07,2.642134980608651e-07,4.5913582046829715e-07,4.6608232272184625e-08,-8.111334561055896e-08,-1.1324106405208341e-08,4.121975507583942e-08,-1.8822611309576392e-08,1.1171970982104974e-07,-1.5344897595510686e-08,-7.261394057422776e-07,2.369827901335201e-09,3.98218010861295e-09,2.6024645194389594e-09,8.432543836540528e-09,-5.048505651451384e-08,5.0965075691517904e-08,-2.2669555619356848e-08,-3.1431205570696917e-07
9103,3.331030408571719e-09,-4.779547452921865e-08,4.664668813347549e-07,2.131195894131624e-07,3.032203918943506e-07,-6.125366780903735e-08,3.5424406329714136e-08,-6.36180629953489e-08,-2.6705868852638117e-08,2.4204685663725633e-09,-1.4414254110304333e-07,2.7779121107109566e-07,-1.941788165519707e-08,-1.899665221573874e-08,5.182034025627211e-09,1.7488297695948153e-08,1.3960137342630106e-09,-3.2898387871652286e-08,2.4821628661204865e-07,2.3577575727053735e-07,5.504830429951292e-07,2.703881667308411e-08,1.623625090965827e-08,-7.396835523348505e-08,3.5433913581073284e-08,-1.5956660111752428e-08,-9.986960018674967e-08,6.05631309248533e-09,-5.362427327781959e-07,-4.553391287725623e-08,5.213854213550594e-09,-8.340769757843024e-09,4.404515493661743e-08,-4.4307865512874276e-08,-1.3302371371534268e-07,1.6693181047843446e-08,-2.5660478665178577e-07
9104,8.10308847576163e-09,-6.142693261305347e-08,9.663895859072576e-07,3.4144710904606004e-07,5.826175523301124e-07,-3.469506433859777e-08,5.333373944016682e-09,-1.1879213464756806e-07,2.2869595947390988e-08,-3.791841057451933e-09,-9.762996342030546e-08,-1.9654883847881988e-07,-1.1703853184978384e-07,-2.9798635902514244e-08,8.15489329397317e-09,-8.255204496288302e-08,1.6125462328820707e-09,-6.816020080199206e-08,2.6326219085605183e-07,5.372208155070814e-07,5.011557368561828e-07,1.1758684801560244e-07,-5.25133994718306e-08,-1.3093211843322517e-07,-6.338969493907655e-08,-1.6326744419835264e-07,-3.5604462027532396e-08,5.220218251149727e-08,5.074177170172399e-07,-1.3307435438061494e-08,-7.3904326806538065e-09,-9.72261962797789e-10,-5.053666730721141e-08,-1.1788972187782307e-07,-1.5558636126423173e-07,1.3023129819586098e-07,6.990352024636125e-08
